Countries,ExportValue,ImportValue,Year,Latitude,Longitude
Singapore,12915,21439.5,2018,1.3389,103.8297
Singapore,13723.3,20240.8,2010,1.3389,103.8297
Singapore,12632.6,18022.5,2015,1.3389,103.8297
Singapore,12724.9,16888.6,2017,1.3389,103.8297
Singapore,10262.7,15550.4,2009,1.3389,103.8297
Singapore,7836.6,15300.2,2005,1.3389,103.8297
Singapore,11861,14548.3,2016,1.3389,103.8297
Singapore,8929.8,13265.8,2006,1.3389,103.8297
Singapore,6001.2,12148.6,2004,1.3389,103.8297
Singapore,5349.1,11775.6,2002,1.3389,103.8297
Singapore,5399.7,10712.7,2003,1.3389,103.8297
Singapore,10501.6,9839.8,2007,1.3389,103.8297
Rest of Oceania,246.3,449.8,2002,,
Rest of Oceania,258.1,445.2,2003,,
Rest of Oceania,269.6,240,2018,,
Rest of Oceania,302.6,185.1,2017,,
Rest of Oceania,243,154,2009,,
Rest of Oceania,336.4,62.4,2012,,
Rest of Oceania,70.1,61.4,2004,,
Rest of Oceania,85.6,59.8,2005,,
Rest of Oceania,249.8,54.3,2010,,
Rest of Oceania,167,53.9,2008,,
Rest of Oceania,308.6,38.8,2014,,
Rest of Oceania,348.9,37.6,2011,,
Rest of Oceania,338.1,37.3,2016,,
Rest of Oceania,295,27.4,2015,,
Rest of Oceania,73.6,26.5,2007,,
Rest of Oceania,367.5,23.4,2013,,
Rest of Oceania,96.4,13.5,2006,,
Rest of European Union,919.9,856.1,2011,,
Rest of European Union,1435.1,831.5,2018,,
Rest of European Union,745.6,806.5,2012,,
Rest of European Union,1068.1,766.7,2017,,
Rest of European Union,892.6,750.6,2016,,
Rest of European Union,827.9,725.3,2013,,
Rest of European Union,924.5,667.8,2014,,
Rest of European Union,827,623.9,2015,,
Rest of European Union,787.3,474.4,2010,,
Rest of European Union,673.2,359.4,2009,,
Rest of European Union,607.3,303.9,2007,,
Rest of European Union,758.7,281.7,2008,,
Rest of European Union,614.5,169.5,2006,,
Rest of European Union,547,82.8,2005,,
Rest of European Union,440.6,13.6,2004,,
Rest of European Union,298.1,1.2,2002,,
Rest of European Union,324.7,1,2003,,
Rest of Europe,1858.7,6036.4,2013,,
Rest of Europe,1696.9,5485.9,2012,,
Rest of Europe,1752.7,5460,2014,,
Rest of Europe,1789.7,5226.6,2011,,
Rest of Europe,2166,4247.8,2018,,
Rest of Europe,2951.3,3654.7,2017,,
Rest of Europe,2546,3635.8,2015,,
Rest of Europe,1450.7,3509.7,2010,,
Rest of Europe,3954.5,3496.5,2016,,
Rest of Europe,1426.7,3244.5,2008,,
Rest of Europe,482.1,2855.8,2004,,
Rest of Europe,650.3,2507.9,2005,,
Rest of Europe,832.1,2434.9,2006,,
Rest of Europe,983.5,2214.1,2009,,
Rest of Europe,6912.5,1982.1,2003,,
Rest of Europe,6327.2,1810.4,2002,,
Rest of Europe,1142.4,1579.2,2007,,
Rest of Asia,22630.6,24471.9,2013,,
Rest of Asia,22059.7,24086.7,2012,,
Rest of Asia,24076.8,23050.7,2014,,
Rest of Asia,22902.8,22505.3,2011,,
Rest of Asia,24133.4,22373.6,2018,,
Rest of Asia,15273.4,17734.1,2008,,
Rest of Asia,0,17642.9,2002,,
Rest of Asia,24225.8,17602.2,2017,,
Rest of Asia,17416.6,17016.9,2010,,
Rest of Asia,0,16113.6,2003,,
Rest of Asia,5534.2,15679.3,2004,,
Rest of Asia,22128.1,15123.6,2015,,
Rest of Asia,8566.8,14440.6,2006,,
Rest of Asia,7173.2,13814.2,2005,,
Rest of Asia,19059.6,13681,2016,,
Rest of Asia,13498,12932.6,2009,,
Rest of Asia,11625.6,9898,2007,,
Rest of America,3018.5,4768.4,2013,,
Rest of America,2899.6,4567.2,2014,,
Rest of America,2975.2,4457,2012,,
Rest of America,1405,4384.2,2006,,
Rest of America,2399.1,4233.9,2016,,
Rest of America,3295.2,4231.1,2011,,
Rest of America,2450.2,4136.6,2015,,
Rest of America,2693.4,3819.9,2018,,
Rest of America,2576.6,3722,2017,,
Rest of America,851.6,3634.9,2004,,
Rest of America,1053.3,3596.9,2005,,
Rest of America,2740.3,3212.9,2010,,
Rest of America,1972.3,2494.6,2008,,
Rest of America,0,2322.3,2002,,
Rest of America,1717.2,2282,2009,,
Rest of America,0,2277,2003,,
Rest of America,1623,1484,2007,,
Philippines,6832.2,958.4,2018,17.181,121.256
Philippines,6629.6,859.3,2017,17.181,121.256
Philippines,3699,852.4,2011,17.181,121.256
Philippines,5270.9,821.8,2016,17.181,121.256
Philippines,3707.6,799.7,2012,17.181,121.256
Philippines,3817,777.4,2013,17.181,121.256
Philippines,2053.6,755.5,2008,17.181,121.256
Philippines,3180.7,706.3,2010,17.181,121.256
Philippines,3887.8,699.7,2014,17.181,121.256
Philippines,3921.7,683.1,2015,17.181,121.256
Philippines,2405.9,544,2009,17.181,121.256
Philippines,1853.7,359.9,2007,17.181,121.256
Philippines,1405.7,359.4,2006,17.181,121.256
Philippines,1419.1,289.5,2005,17.181,121.256
Philippines,1237.6,205.6,2004,17.181,121.256
Philippines,778.2,188,2002,17.181,121.256
Philippines,944.7,175.1,2003,17.181,121.256
New Zealand,481.4,836,2014,-42.558,172.377
New Zealand,490.7,808.5,2018,-42.558,172.377
New Zealand,469.5,806,2013,-42.558,172.377
New Zealand,437.4,751.2,2017,-42.558,172.377
New Zealand,371.7,729.2,2011,-42.558,172.377
New Zealand,396.2,726.9,2010,-42.558,172.377
New Zealand,542.3,706.7,2008,-42.558,172.377
New Zealand,441,696.3,2012,-42.558,172.377
New Zealand,366.6,660.9,2016,-42.558,172.377
New Zealand,436.2,637,2015,-42.558,172.377
New Zealand,349.5,556.8,2009,-42.558,172.377
New Zealand,362.2,503.5,2007,-42.558,172.377
New Zealand,320,473.3,2006,-42.558,172.377
New Zealand,275.3,390.5,2005,-42.558,172.377
New Zealand,187.2,328,2004,-42.558,172.377
New Zealand,0,0,2003,-42.558,172.377
New Zealand,0,0,2002,-42.558,172.377
Netherlands,3896.6,1239.3,2018,52.1704,5.0102
Netherlands,4106,1033.8,2013,52.1704,5.0102
Netherlands,4037.8,1026.5,2017,52.1704,5.0102
Netherlands,3984.6,908.3,2014,52.1704,5.0102
Netherlands,4664.3,880.2,2012,52.1704,5.0102
Netherlands,5132.5,808.5,2011,52.1704,5.0102
Netherlands,3442.2,785.2,2015,52.1704,5.0102
Netherlands,1618.4,768.9,2002,52.1704,5.0102
Netherlands,3254.9,723.6,2016,52.1704,5.0102
Netherlands,3722.5,681.9,2010,52.1704,5.0102
Netherlands,1401.5,641.3,2003,52.1704,5.0102
Netherlands,1797.5,632.5,2004,52.1704,5.0102
Netherlands,3926.4,602.7,2008,52.1704,5.0102
Netherlands,2909.1,554.1,2009,52.1704,5.0102
Netherlands,2749.4,504,2007,52.1704,5.0102
Netherlands,2518.4,434.9,2006,52.1704,5.0102
Netherlands,2233.5,394.5,2005,52.1704,5.0102
Myanmar,615.7,160.4,2015,21.841,96.05
Myanmar,897.6,151.6,2018,21.841,96.05
Myanmar,827.5,145.7,2017,21.841,96.05
Myanmar,54.4,145.2,2002,21.841,96.05
Myanmar,566.9,122.1,2014,21.841,96.05
Myanmar,615.7,113.3,2016,21.841,96.05
Myanmar,556.4,73.2,2013,21.841,96.05
Myanmar,359.5,71.3,2011,21.841,96.05
Myanmar,45.7,66.2,2003,21.841,96.05
Myanmar,401.6,63.5,2012,21.841,96.05
Myanmar,137.7,56.7,2006,21.841,96.05
Myanmar,60.3,36.9,2004,21.841,96.05
Myanmar,284.2,31.9,2010,21.841,96.05
Myanmar,262.4,30.4,2007,21.841,96.05
Myanmar,78,30,2005,21.841,96.05
Myanmar,250.8,29.7,2008,21.841,96.05
Myanmar,174.8,29.1,2009,21.841,96.05
Mexico,649.9,568.4,2012,22.925,-101.68
Mexico,687.3,515.8,2013,22.925,-101.68
Mexico,658.4,412.7,2011,22.925,-101.68
Mexico,905.3,287.3,2018,22.925,-101.68
