MajorPorts,Province,Year,Latitude,Longitude,Values
Kabil/Panau,Kepulauan Riau,2017,1.352016667,104.1581722,1772
Hasanuddin 1,Sulawesi Selatan,2017,-5.14,119.4221,9.8
Dumai,Riau,2017,1.6861,101.44849,12972.8
Cirebon,Jawa Barat,2017,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2017,-7.74913,109.01491,241.7
Cigading,Banten,2017,6.016666667,105.95,517.2
Bontang,Kalimantan Timur,2017,0.08553,117.48763,4478.9
Blang Lancang (Arun),Aceh,2017,5.233333333,97.1,0
Bitung,Sulawesi Utara,2017,1.4389,125.19403,627.9
"Bintuni, Papua",Papua Barat,2017,0.82175,133.586425,1939.6
Bima,NTB,2017,-8.44602,118.71591,0
Benoa/Loloan,Bali,2017,-8.74329,115.20943,0.4
Belawan,Sumatera Utara,2017,3.79246,98.71623,8111.3
Batu Ampar,Kepulauan Riau,2017,1.169719444,104.02,3438.7
Banjarmasin,Kalimantan Selatan,2017,-3.33321,114.5551,4154.1
Balongan,Jawa Barat,2017,6.360561111,108.3902806,207.1
Balikpapan,Kalimantan Timur,2017,-1.25527,116.81594,1618.1
Bade Irian Jaya,Papua,2017,7.1687,139.5937,43.9
Atapupu,NTT,2017,8.9964,124.8617,20.4
Arjuna,Jawa Barat,2017,7.816666667,112.5666667,0
Ambon,Maluku,2017,-3.6941,128.17627,0.3
Amamapare,Papua,2017,-4.82653,136.84068,2349.6
Waingapu,NTT,2016,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2016,5.133333333,119.4,491.6
Tuban,Jawa Timur,2016,-6.786842,111.8976,768.5
Ternate,Maluku Utara,2016,0.78066,127.38809,0
Tenau,NTT,2016,-10.1718,123.6075,13.2
Teluk Kasim/Salawati,Papua Barat,2016,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2016,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2016,0.366666667,117.5666667,26.5
Tanjung Priok,DKI Jakarta,2016,-6.10492,106.87615,40461.5
Tanjung Pinang,Kepulauan Riau,2016,0.92914,104.45295,7.3
Tanjung Perak,Jawa Timur,2016,7.216666667,112.7333333,13225.6
Tanjung Emas,Jawa Tengah,2016,6.883333333,110.4,5248.3
Sorong,Papua Barat,2016,-0.87802,131.24612,54.2
Soekarno Hatta 1,DKI Jakarta,2016,5.1225,119.4078,5531.7
Senipah,Kalimantan Timur,2016,0.95,117.1666667,406.7
Sekupang,Kepulauan Riau,2016,1.133333333,103.9166667,2096.6
Samarinda,Kalimantan Timur,2016,-0.50507,117.15071,3525.4
Pulau Sambu,Kepulauan Riau,2016,1.166666667,103.9,12.1
Pontianak,Kalimantan Barat,2016,-0.01847,109.33552,459
Pomalaa,Sulawesi Tenggara,2016,-4.23145,121.57935,107.1
Pantoloan,Sulawesi Tengah,2016,-0.69477,119.84041,364.4
Panjang,Lampung,2016,5.466666667,105.3166667,1873.6
Pangkalan Susu,Sumatera Utara,2016,4.116666667,98.21666667,0.1
Palembang0Plaju,Sumatera Selatan,2016,2.984722222,104.8347222,118.2
Palembang (Kertapati),Sumatera Selatan,2016,-2.178201,104.952,195.4
Pakanbaru/Rumbai,Riau,2016,0.5566,101.4507,5
Padang/Teluk Bayur,Sumatera Barat,2016,-8.53394,115.5086,1708.1
Ngurah Rai 1,Bali,2016,-8.75,115.1667,256.5
Musi River/Boom Baru,Sumatera Selatan,2016,2.981111111,104.7816667,1665
Merak,Banten,2016,5.95,106,383.2
Mamuju,Sulawesi Barat,2016,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2016,-2.66317,120.98228,0
Lingkas Tarakan,Kalimantan Utara,2016,3.283333333,117.6,606.2
Kupang,NTT,2016,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2016,3.233333333,116.2166667,249.7
Kolaka,Sulawesi Tenggara,2016,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2016,1.352016667,104.1581722,1757.9
Hasanuddin 1,Sulawesi Selatan,2016,-5.14,119.4221,22
Dumai,Riau,2016,1.6861,101.44849,10889.4
Cirebon,Jawa Barat,2016,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2016,-7.74913,109.01491,136.3
Cigading,Banten,2016,6.016666667,105.95,352.1
Bontang,Kalimantan Timur,2016,0.08553,117.48763,4095.7
Blang Lancang (Arun),Aceh,2016,5.233333333,97.1,0
Bitung,Sulawesi Utara,2016,1.4389,125.19403,693.4
"Bintuni, Papua",Papua Barat,2016,0.82175,133.586425,1762
Bima,NTB,2016,-8.44602,118.71591,0
Benoa/Loloan,Bali,2016,-8.74329,115.20943,2.2
Belawan,Sumatera Utara,2016,3.79246,98.71623,6768.7
Batu Ampar,Kepulauan Riau,2016,1.169719444,104.02,3537.8
Banjarmasin,Kalimantan Selatan,2016,-3.33321,114.5551,3077.5
Balongan,Jawa Barat,2016,6.360561111,108.3902806,116.2
Balikpapan,Kalimantan Timur,2016,-1.25527,116.81594,1121.2
Bade Irian Jaya,Papua,2016,7.1687,139.5937,44.6
Atapupu,NTT,2016,8.9964,124.8617,19.9
Arjuna,Jawa Barat,2016,7.816666667,112.5666667,94.2
Ambon,Maluku,2016,-3.6941,128.17627,85
Amamapare,Papua,2016,-4.82653,136.84068,1908.2
Waingapu,NTT,2015,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2015,5.133333333,119.4,550.7
Tuban,Jawa Timur,2015,-6.786842,111.8976,371.5
Ternate,Maluku Utara,2015,0.78066,127.38809,0
Tenau,NTT,2015,-10.1718,123.6075,2.7
Teluk Kasim/Salawati,Papua Barat,2015,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2015,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2015,0.366666667,117.5666667,31.4
Tanjung Priok,DKI Jakarta,2015,-6.10492,106.87615,40681.2
Tanjung Pinang,Kepulauan Riau,2015,0.92914,104.45295,7.4
Tanjung Perak,Jawa Timur,2015,7.216666667,112.7333333,12784.9
Tanjung Emas,Jawa Tengah,2015,6.883333333,110.4,5242.9
Sorong,Papua Barat,2015,-0.87802,131.24612,86.3
Soekarno Hatta 1,DKI Jakarta,2015,5.1225,119.4078,5674.1
Senipah,Kalimantan Timur,2015,0.95,117.1666667,450.7
Sekupang,Kepulauan Riau,2015,1.133333333,103.9166667,2342.2
Samarinda,Kalimantan Timur,2015,-0.50507,117.15071,4161.3
Pulau Sambu,Kepulauan Riau,2015,1.166666667,103.9,11
