MajorPorts,Province,Year,Latitude,Longitude,Values
Kabil/Panau,Kepulauan Riau,2017,1.352016667,104.1581722,2014.6
Hasanuddin 1,Sulawesi Selatan,2017,-5.14,119.4221,2.7
Dumai,Riau,2017,1.6861,101.44849,22332.8
Cirebon,Jawa Barat,2017,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2017,-7.74913,109.01491,1088.4
Cigading,Banten,2017,6.016666667,105.95,1690.6
Bontang,Kalimantan Timur,2017,0.08553,117.48763,23080.5
Blang Lancang (Arun),Aceh,2017,5.233333333,97.1,0
"Bituni, Papua",Papua Barat,2017,,,5941.2
Bitung,Sulawesi Utara,2017,1.4389,125.19403,674.3
Bima,NTB,2017,-8.44602,118.71591,0
Benoa/Loloan,Bali,2017,-8.74329,115.20943,0.2
Belawan,Sumatera Utara,2017,3.79246,98.71623,7512.7
Batu Ampar,Kepulauan Riau,2017,1.169719444,104.02,812.6
Banjarmasin,Kalimantan Selatan,2017,-3.33321,114.5551,71723.1
Balongan,Jawa Barat,2017,6.360561111,108.3902806,567.6
Balikpapan,Kalimantan Timur,2017,-1.25527,116.81594,14496.3
Bade Irian Jaya,Papua,2017,7.1687,139.5937,56.9
Atapupu,NTT,2017,8.9964,124.8617,89.6
Arjuna,Jawa Barat,2017,7.816666667,112.5666667,0
Ambon,Maluku,2017,-3.6941,128.17627,0.8
Amamapare,Papua,2017,-4.82653,136.84068,956.8
Waingapu,NTT,2016,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2016,5.133333333,119.4,454.1
Tuban,Jawa Timur,2016,-6.786842,111.8976,2448.9
Ternate,Maluku Utara,2016,0.78066,127.38809,0
Tenau,NTT,2016,-10.1718,123.6075,21.1
Teluk Kasim/Salawati,Papua Barat,2016,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2016,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2016,0.366666667,117.5666667,652.9
Tanjung Priok,DKI Jakarta,2016,-6.10492,106.87615,12557.9
Tanjung Pinang,Kepulauan Riau,2016,0.92914,104.45295,1.8
Tanjung Perak,Jawa Timur,2016,7.216666667,112.7333333,7794.3
Tanjung Emas,Jawa Tengah,2016,6.883333333,110.4,2265.2
Sorong,Papua Barat,2016,-0.87802,131.24612,175.4
