,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
2364,"bruh what was my first netflix kdrama didnt remember maybe sky castle?
last netflix was our beloved summer 😩 still feel the  butterflies
best was ofc my mister 
current netflix drama : racket boys hometown chacha and run on still on my still-watching-never-doing-to watch list :) https://t.co/3IRYKYajA8",0.0, 0.848, 0.152, 0.8176, 0.0, 0.0, 0.25, 0.0, 0.75
2365,just finished racket boys my life has no purpose anymore,0.196, 0.804, 0.0, -0.296, 0.0, 1.0, 0.0, 0.0, 0.0
2368,why does racket boys has a 18% rating on google,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2369,@091buys racket boys,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2370,suddenly i remember racket boys https://t.co/biUrx6yjA1,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2374,#TwentyFiveTwentyOne has same vibes w #RacketBoys huhu and i love them both!!!,0.0, 0.58, 0.42, 0.7249, 0.0, 0.0, 1.0, 0.0, 0.0
2375,"@DirtbagEconomi1 @kurteichenwald You are clueless, boy.  It's a racket between providers, insurance carriers and big pharma.  Brokers don't drive shit.  Average commission on an employer plan is 5% per month.  In small group, the rates are the same whether you go direct or through a broker.",0.055, 0.881, 0.064, 0.1088, 0.0, 0.7, 0.0, 0.1, 0.2
2379,"Red with excitement, a pretty, young boy with pink hair makes a loud racket like a baby bird. Though his fine, ready-made clothes were perhaps not yet a perfect fit for him, it just made him even more adorable, really.",0.106, 0.6, 0.294, 0.8436, 0.17, 0.0, 0.33, 0.33, 0.17
2380,@cyapila Langsung inget drama Racket Boys,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2383,I can't wait for racket boys season three and season two isn't even out yet,0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
2384,"First : dost
Last : racket boys
Best : fight for my way, arthdal cronicles https://t.co/Rq6XTQBSLl",0.146, 0.618, 0.236, 0.3818, 0.0, 0.0, 0.0, 0.33, 0.67
2386,@hyrl0_ racket boys,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2387,@kdrama_menfess Racket Boys,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
2388,"racket boys,crash landing on you and hometown cha cha cha are my comfort kdramas&lt;3",0.0, 0.839, 0.161, 0.3612, 0.0, 0.33, 0.0, 0.33, 0.33
