,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
110,"@lilmuteneo 💜
She frowns with pity seeing the poor girl alone in the rain, strutting over and taking off her hat, and placing it on the smaller girls soaked head

""Its not the best idea to be out here, especially being alone. Let's get you somewhere dry okay?""",0.241, 0.759, 0.0, -0.8926, 0.0, 0.18, 0.0, 0.45, 0.36
112,i hate talking about jinn so much so so so so much,0.27, 0.73, 0.0, -0.5719, 0.0, 0.0, 0.0, 1.0, 0.0
116,@coc0nut_ you can’t write that and not think I’ll be on imdb,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
117,@modoschronicles @LESLEYGORES @chanelbride No wonder she looks like a jinn 💀,0.253, 0.46, 0.287, 0.0772, 0.0, 0.0, 0.0, 0.0, 1.0
120,"Magmove on na lang siguro... 

STELL WHOMST WHEREST 
#BerrySingleEra https://t.co/iTDfwS1FbR",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
121,@jojoldn Jaysu I’ll be taking a break,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
130,@namjunkm Sounds good 🤭,0.0, 0.256, 0.744, 0.4404, 0.0, 0.0, 1.0, 0.0, 0.0
131,Keziah wahala dey for you. E go shock youuuuu,0.271, 0.729, 0.0, -0.3818, 0.0, 0.0, 0.0, 0.0, 1.0
136,@coc0nut_ you think he has two that brain is hollow g,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
141,@coc0nut_ The way I shouted lool look at this anti vaxxer,0.247, 0.753, 0.0, -0.3869, 0.0, 0.0, 0.0, 0.0, 1.0
143,@jojoldn Episode 5 pls producers lighten up the mood 😭,0.0, 0.822, 0.178, 0.0772, 0.0, 0.25, 0.0, 0.75, 0.0
145,@namjunkm Cuddle?,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
147,"@apparentlyalbo oh wait if ur sure there’s a jinn, I’d suggest reciting Surah al-Baqarah. My imaam said that it helps with getting rid of them. I’ll make dua for you, stay safe!",0.0, 0.769, 0.231, 0.7959, 0.17, 0.17, 0.0, 0.17, 0.5
149,JINN! HE HAS A COLLAR. https://t.co/holGBBhWqG,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
150,Good Morning!😗 https://t.co/Xb6OtaPD0t,0.0, 0.385, 0.615, 0.4926, 0.0, 0.0, 1.0, 0.0, 0.0
153,"@bopinion The article’s one thing, but who wrote the tweet? Who’s little bit of flair and pizazz was ‘nobody said this would be fun’?",0.0, 1.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.5
154,Jaq is cute tf like look at her on job,0.0, 0.593, 0.407, 0.6705, 0.0, 0.5, 0.5, 0.0, 0.0
155,@bopinion Reminder that it’s bad on purpose to make you click,0.28, 0.72, 0.0, -0.5423, 0.0, 0.0, 0.0, 1.0, 0.0
156,"@VeraVanHorne God is with a leader that quotes Bible scripture 
https://t.co/iMZ50H3oUf",0.0, 0.792, 0.208, 0.2732, 0.0, 0.0, 0.0, 0.0, 1.0
161,My chest is tight am I the one living this life?,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
165,if I don’t leave after this episode where will my bonnet end up? On my ear? I can’t take itttttt loool,0.08, 0.92, 0.0, -0.1431, 0.0, 0.0, 0.0, 1.0, 0.0
166,@jojoldn it’s too muchhhh,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
170,"I recently was introduced to actually sitting down and watching Star Wars for the first time, and quickly decided I love Darth Maul. I then decided my other favorite character was easily Qui-Gon Jinn. Needless to say, it was a long night.",0.076, 0.72, 0.203, 0.7184, 0.08, 0.38, 0.15, 0.08, 0.31
171,Your name is literally jinn https://t.co/ps8q1TK29t,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
179,@O9O3YG Morning ris.,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
187,"🫒/The urge to draw Jinn holding Oracle Olive aishsndndn

I just.. Favorite Olive is Oracle Olive cause Oracle Olive is too pure for this world.",0.0, 0.88, 0.12, 0.4588, 0.0, 0.33, 0.67, 0.0, 0.0
197,Amma’s storyline is heartbreaking because it’s so real.,0.3, 0.7, 0.0, -0.4588, 0.0, 0.0, 0.0, 1.0, 0.0
200,have a blessed sunday!,0.0, 0.323, 0.677, 0.636, 0.0, 0.0, 1.0, 0.0, 0.0
207,@jojoldn more than nuts smhh,0.462, 0.538, 0.0, -0.3774, 0, 0, 0, 0, 0
208,@kingtacoburrito just literal children fighting demons and jinn,0.294, 0.706, 0.0, -0.3612, 0.0, 0.0, 0.0, 1.0, 0.0
210,“5g can’t be good for the baby” Curtis didirin ni yi,0.0, 0.756, 0.244, 0.4404, 0.0, 0.0, 1.0, 0.0, 0.0
217,Good morning!,0.0, 0.239, 0.761, 0.4926, 0.0, 0.0, 1.0, 0.0, 0.0
219,Then speed us on our way.,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
222,"You know I probably should have asked this question when I was a child but what do you do if you got information from Jinn, particularly Iblis? What kind of omen would that be? I believe only in Allah. Yet I have no answers to explain what I have seen.",0.068, 0.932, 0.0, -0.4871, 0.0, 0.8, 0.2, 0.0, 0.0
226,Pebbles is the worst sis this isn’t your world. Should we look into doing lashes idk man,0.268, 0.732, 0.0, -0.6705, 0.5, 0.0, 0.0, 0.5, 0.0
230,Who is this yt youth worker taking money from Aaron? Let us breathe everyday take,0.0, 1.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.33, 0.33
235,@majortomxyz Not just help. Serious help,0.584, 0.258, 0.158, -0.5096, 0.0, 0.0, 0.0, 0.0, 1.0
236,@majortomxyz Attracted to a children's game 💀💀 they need serious help. Someone get a very very good therapist for them to tell them to snap outta it.,0.044, 0.649, 0.306, 0.8258, 0.0, 0.0, 0.25, 0.25, 0.5
243,ARMYs miss u and take a good resting time babe #BTSJIN #Yours_Jin #SuperTuna_Jin https://t.co/JNiTOwMxn2,0.139, 0.609, 0.252, 0.3182, 0.0, 0.0, 0.5, 0.5, 0.0
244,"Forgot to finish this 💀💀

She still doesn't care about the other grades pulled up. She only cares about maths which pisses me off cuz I'm no mathematician and ik it's important and all but still.",0.133, 0.779, 0.088, -0.1813, 0.6, 0.0, 0.2, 0.2, 0.0
247,Take a good rest babe #GetWellSoonJin #BTSJIN #Yours_Jin #SuperTuna_Jin https://t.co/gK6ydkq8sI,0.0, 0.58, 0.42, 0.4404, 0.0, 0.0, 1.0, 0.0, 0.0
248,@ZeroJinn JINN AND KLEEN ARE GONNA FLY IN OD AND PUNCH HIM,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
249,Get well soon #BTSJIN #GetWellSoonJin #Jin 🥺 #Yours_Jin #SuperTuna_Jin https://t.co/lQJ8l1EiRd,0.0, 0.588, 0.412, 0.2732, 0, 0, 0, 0, 0
250,@Gazzagunna Isle of Mann TT 🇮🇲 starts 28 May 2022 - 11 June 2022,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
251,Seokjin smile is just too beautiful #GetWellSoonJin #Yours_Jin #SuperTuna_Jin https://t.co/3do6nKaaX5,0.0, 0.439, 0.561, 0.7506, 0.0, 0.0, 1.0, 0.0, 0.0
252,Holy shit snacks! https://t.co/cGTxoCFCR6,0.565, 0.435, 0.0, -0.5983, 0.0, 0.0, 0.0, 0.0, 1.0
255,I need more friends that play apex. I've only started playing about a month ago so I'm only level 25 but if I could gather up a few people to play with  that'd be awesome. I'm usually always online on discord so add me if you're interested. (Discords in bio),0.059, 0.637, 0.304, 0.927, 0.0, 0.38, 0.25, 0.25, 0.12
256,So she just stole a car and I still like this kid,0.0, 0.783, 0.217, 0.3612, 0.0, 0.0, 0.5, 0.0, 0.5
257,@Lholarrr @Maserati_HQ Lmao Kudi you’re mad o 😂,0.352, 0.22, 0.429, 0.1779, 1.0, 0.0, 0.0, 0.0, 0.0
259,@SmoresDelish Some people I know found out from my social medias. I'm never telling my family tho,0.0, 1.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.33, 0.33
262,"Once we were called the spirit of the mountain. Father sun, mother moon. Ancestral spirits, animal spirits. Jinn. Ghosts. The green man. Then gods, demons. Angels. Poltergeists. Aliens, extraterrestrials. Leptons, quarks. The words change. We do not change.",0.0, 0.956, 0.044, 0.1779, 0.17, 0.17, 0.0, 0.5, 0.17
264,Episode 4 pebbles let use a synonym you can’t keep killing me like this 😭😭,0.26, 0.592, 0.148, -0.4404, 0.0, 0.25, 0.0, 0.5, 0.25
265,"Good morning, NOW OPEN‼️

🌙  NOT AVAILABLE - Smart Load to Gcash

🌙 GLOBE LOAD TO GCASH - 20% deduction

🌙 DITO LOAD TO GCASH - 25%

🌙 NOT AVAILABLE - Unverified to Verified

For proofs, check #/Moon_JinnProofs",0.07, 0.84, 0.09, 0.1635, 0.0, 0.8, 0.2, 0.0, 0.0
266,“Stop being a pum pum” I will be looking up the writers very soon,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
268,@Jin_Mori528 Love uuuu jinn xx,0.0, 0.417, 0.583, 0.6369, 0.0, 0.0, 1.0, 0.0, 0.0
271,@POTUS @UDelaware I bet UDelaware is so embarrassed.,0.448, 0.552, 0.0, -0.5009, 0.0, 1.0, 0.0, 0.0, 0.0
272,@TheAnything_Bot Awesome,0.0, 0.0, 1.0, 0.6249, 0.0, 0.0, 0.0, 0.0, 1.0
273,I replayed that part about seven times laughing https://t.co/X3zFtdudIh,0.0, 0.686, 0.314, 0.4939, 0, 0, 0, 0, 0
274,I like this Tia character a lot she’s just great 🤌🏾,0.0, 0.336, 0.664, 0.872, 0.0, 0.33, 0.33, 0.33, 0.0
277,@averagefurr I saw a donkey/horse,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
278,@HMD_ENIOBANKE Imagine say you later run go okoafo that year @DaramolaWest,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
281,when he treats u like a father figure,0.0, 0.667, 0.333, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
284,@averagefurr No it doesn't,0.524, 0.476, 0.0, -0.296, 0, 0, 0, 0, 0
286,Star Wars: How Qui-Gon Jinn Learned to Become a Force Ghost | CBR https://t.co/DBK34XtppI,0.371, 0.629, 0.0, -0.7096, 0.0, 1.0, 0.0, 0.0, 0.0
287,"We know Justice will find Elsie, Ziggy and Shiki will probably fight and Holy is headed towards Crow but what is Acnoella’s role in battle going to be? What are Hiro’s plans for her?",0.143, 0.8, 0.057, -0.5204, 0.0, 0.8, 0.0, 0.2, 0.0
290,@ryoto_zero1 It cannot be that easy if he’s an OSG,0.231, 0.769, 0.0, -0.3412, 0, 0, 0, 0, 0
292,Star Wars: How Qui-Gon Jinn Learned to Become a Force Ghost https://t.co/qHbE6IC5Ks,0.396, 0.604, 0.0, -0.7096, 0.0, 1.0, 0.0, 0.0, 0.0
293,Avoiding spending so much time in bathrooms or other unclean places. Jinns tend to be in those places and a jinn can fall in love with you and possibly bring despair into your life.,0.121, 0.771, 0.108, 0.128, 0.0, 0.5, 0.17, 0.33, 0.0
294,"@ZeroJinn Literally have Laguna damage his wires and shit with water 

And then Kleene and Jinn can just blow him over lol",0.246, 0.652, 0.101, -0.6124, 0.0, 0.0, 0.0, 0.33, 0.67
296,"@CatsSurname 💔 poor kitties 💔

i'm only still alive because of pookhie and jinn jinn

(not a drama statement, i have things prepared and have learned from previous mistakes)",0.112, 0.725, 0.163, 0.1027, 0.0, 0.0, 0.0, 0.0, 1.0
297,What is the elemental trio going to do against Crow😭😭,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
298,There is a stage you’ll get to in life you’ll understand why people tell the dead Rest In Peace ✌️,0.181, 0.672, 0.147, -0.2023, 0.0, 0.67, 0.0, 0.33, 0.0
305,@Maymytan done,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
308,@GuyWithlewds Artists with affordable prices exist on here and these kinds of people still resort to using someone else’s characters without their consent,0.074, 0.926, 0.0, -0.1695, 0.0, 0.67, 0.33, 0.0, 0.0
309,"12 hrs left for the Second 1 of 1 Pieces of @MaestroJinn On @holaplex  🐉🔥🐲!!!! https://t.co/JdIyQgdLVb 
@holalistings @SolanaNFTs @solana #solananft #solana #nft #nftcommunity https://t.co/2VlB8lwwcD",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
312,"@Besmellah09 @Mooreskywatcher ""O company of jinn and mankind, if you are able to pass beyond the regions of the heavens and the earth, then pass. You will not pass except by authority [from Allah].""
(55:33)",0.0, 0.875, 0.125, 0.4588, 0.0, 0.6, 0.0, 0.0, 0.4
313,"12 hrs left for the Second 1 of 1 Pieces of @MaestroJinn On @holaplex  🐉🔥🐲!!!! https://t.co/JdIyQgdLVb 
@holalistings @SolanaNFTs @solana #nft #solananft #nftcommunity #solana https://t.co/HE17WeX7wT",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
316,Mentally broken 💔,0.756, 0.244, 0.0, -0.4767, 0.0, 0.0, 0.0, 0.0, 1.0
