,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
4288,Too Hot to Handle gotta be fake cus aint no way nobody punched on Holly and Nathan,0.155, 0.75, 0.094, -0.2987, 0.0, 0.0, 0.0, 1.0, 0.0
4290,@momrryisqueen28 @rainbow_larents Too hot to handle 😭😭,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4291,@stacia_vandi Too Hot To Handle UFO.,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4292,"I suffered with body dysmorphia but now I’ve transformed my life, says Too Hot To Handle’s Tabitha Clifft https://t.co/HWeUHU6q5W",0.11, 0.89, 0.0, -0.2732, 0.0, 0.33, 0.0, 0.33, 0.33
4293,"The tea is too hot to handle, ayt? Thank you for exposing him. Long overdue. @LukeEspirituPH https://t.co/ZmRxXQWNKh",0.113, 0.753, 0.134, 0.1027, 0.0, 0.5, 0.0, 0.5, 0.0
4294,"Lmaoooo if Kelz was in season 2 of too hot to handle, he would’ve died, 3 rule breaks on day 2",0.175, 0.825, 0.0, -0.5574, 0.0, 0.5, 0.17, 0.17, 0.17
4296,Lmaoooo stop this dude on too hot to handle I just can't.,0.18, 0.82, 0.0, -0.296, 0.0, 0.0, 0.0, 1.0, 0.0
4297,"Tall and gentle
Too hot to handle
You're all that I want
You're all that I want
Don't you know , baby ?",0.0, 0.744, 0.256, 0.5423, 0.0, 0.0, 0.0, 1.0, 0.0
4298,@lalliaumaru Twas too hot to handle 😭,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4299,"""This book is funny and will keep you so entertained you won’t put it down.""

Can a headstrong female Berserker and a cranky but sexy War Commander work together to stop the Rodan. Or are they too hot to handle...

➡️ https://t.co/rceS7MdQ5u

#scifi #romance #comedy @askole https://t.co/qKU1ltt6jQ",0.16, 0.667, 0.173, -0.0911, 0.0, 0.25, 0.0, 0.5, 0.25
4300,@letmebeclearni @Dubht1 I was told by a journalist that it’s too hot  to handle. They also firmly believe foul play.,0.0, 0.862, 0.138, 0.34, 0.0, 0.5, 0.0, 0.5, 0.0
4301,Too hot to handle: The current speed merchants from countries other than Pakistan | Cricket News – Times of India https://t.co/y9MbMzhaJM,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4302,Season 3 of Too Hot to Handle is not doing it for me like the other two seasons. I can’t get into this cast.,0.0, 0.894, 0.106, 0.3612, 0.0, 0.0, 0.0, 1.0, 0.0
4303,Uh. Now back to some low level of thinking with “too hot to handle season 2”.,0.13, 0.87, 0.0, -0.2732, 0.0, 0.0, 0.0, 0.67, 0.33
4304,Too hot to handle - date night with @valashibbs #twitchaffiliate #twitch #twitchfam #twitchgirl #fortnite https://t.co/uESxfLTkDo,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4305,Man I started watching Too hot to handle and this show be cracking me up,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5
4306,Y’all are lucky this thing isn’t in person. I’m too hot to handle. 😤🥳 https://t.co/jAINp1FecA,0.0, 0.823, 0.177, 0.4215, 0.0, 0.0, 0.33, 0.33, 0.33
4307,"@BettePorter_CA Mmm, too hot to handle. As for the video, it’s one of a few I found online. Thank goodness for Angie not seeing it before me",0.0, 0.8, 0.2, 0.6705, 0.0, 0.0, 0.0, 1.0, 0.0
4308,Stg if Jaz gets kicked off Too Hot To Handle bc no one wants her I’m gonna throw a fit fr.,0.097, 0.793, 0.11, 0.0772, 0.0, 0.0, 0.33, 0.33, 0.33
4309,Just tried to abolish corsages and boutonnières and tiktok took it down. Too hot to handle.,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5
4310,@recordmemom Too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4311,"@IamJackThursby @Thirxeen BTW Jack, you seem to be too hot to handle, the words going out on you lol, persona non grata 
Congratulations on your elevation in the club :) https://t.co/sd6Ai1uahW",0.0, 0.795, 0.205, 0.7717, 0.2, 0.2, 0.0, 0.6, 0.0
4312,I don't believe no one on too hot to handle has stretch marks or cellulite on their butt,0.0, 0.894, 0.106, 0.2235, 0.5, 0.0, 0.0, 0.5, 0.0
4313,This photo is too hot to handle!!! ZOE WINS AT LIFE!!!!! https://t.co/W2YA7s2jGx,0.0, 0.693, 0.307, 0.7067, 0.0, 0.5, 0.0, 0.5, 0.0
4316,The people on Too hot to handle are WEAK. STAND UP!!!!!!!!!!!,0.289, 0.711, 0.0, -0.6209, 0.0, 0.33, 0.0, 0.67, 0.0
4317,@Calum5SOS too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4318,Hal gives me Lana vibes from too hot to handle #BCM325,0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
4319,"""Wonderful, fun-filled rollercoaster ride in space.""

Can a headstrong female Berserker and a cranky but sexy War Commander work together to stop the Rodan. Or are they too hot to handle...

#ColettiWarlord series - #scifi #romance @askole

➡️ https://t.co/Mn5TIFCQyQ https://t.co/9iklu7Dvwd",0.2, 0.687, 0.113, -0.5499, 0.0, 0.5, 0.0, 0.5, 0.0
4320,Broooooo when a cockroach hit @ChaseDeMoor on Too Hot To Handle I spit my water😂😂 he hesitated for a couple seconds #TooHotToHandle https://t.co/PfmFe4Mf52,0.119, 0.881, 0.0, -0.3182, 0.5, 0.25, 0.0, 0.25, 0.0
4321,"@Vynchie_ Idg why anyone would want to be with a deadbeat parent. 
Legit told his kids "" I'm too hot to handle,  so I gotta go ""
And we ain't seen him for 5 years now ...",0.0, 0.957, 0.043, 0.0772, 0.0, 0.33, 0.17, 0.33, 0.17
4322,There's two South Africans on Too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4323,@insidercory cause he's too hot to handle,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
4324,my friend convinced me to watch Too hot to Handle w her... im really a pushover pussyass bitch😪,0.0, 0.704, 0.296, 0.7096, 0.0, 0.0, 0.25, 0.25, 0.5
4325,vou passar a comentar too hot to handle na minha conta privada im sorry dont want to bother you bye,0.123, 0.778, 0.099, 0.1316, 0.0, 0.0, 0.0, 1.0, 0.0
4326,@GBoynz @risemelbourne Too hot to handle LOL,0.0, 0.588, 0.412, 0.4215, 0.0, 0.0, 0.0, 1.0, 0.0
4327,"let’s be honest, he’s always too hot to handle 😭 https://t.co/MVTARXAn4o",0.0, 0.732, 0.268, 0.5106, 0.0, 0.0, 0.0, 1.0, 0.0
4328,Why tf is Josh Giddy on Too Hot To Handle,0.151, 0.849, 0.0, -0.1531, 0.0, 0.0, 0.0, 1.0, 0.0
4329,#BBmzansi I will need Nathan from too hot to handle to audition for BBM next year 😛😛😛😛😛. https://t.co/XUHUCaHz6w,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
