,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
26,"@journeyman121_ @Banderas8108 @SW_Fan10000 @SWTheory66 George Lucas himself said it’s for twelve year olds. That isn’t derogatory. Either way, it’s just a movie. Not worth getting angry over or attacking people over. I didn’t like ReBoot: The Guardian Code, but rather than getting angry over it I moved on and stuck to the original",0.106, 0.71, 0.184, 0.6452, 0.33, 0.5, 0.0, 0.0, 0.17
27,"@Sasori_113 @DynamoSuperX What really sucks: I waited forever to see the rest of Reboot on CN, then it stopped before I could finish it. Years later I was finally able to find all the episodes thinking I would finally have a conclusion, only to learn it never properly ended!

But have Guardian Code…",0.076, 0.924, 0.0, -0.3896, 0.0, 0.44, 0.11, 0.11, 0.33
28,"I am going to get an interview with one of the actors from ReBoot: The Guardian Code (totally not making a video on it) I will achieve this goal; mark my words and if I don’t, don’t mark these words",0.0, 1.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.25, 0.0
29,"@realRahmKota That doesn’t mean it’s okay to act like you are owed something living up to your expectations. If you don’t like something, just don’t watch it. I didn’t like ReBoot: The Guardian Code, but rather than spending four years being angry about it, I moved on with my life.",0.084, 0.79, 0.126, -0.1901, 0.2, 0.6, 0.0, 0.0, 0.2
30,"Note that this ""Reboot"" is not a reboot of ""ReBoot,"" the CGI Saturday morning cartoon that was itself rebooted as ""ReBoot: The Guardian Code"" on Netflix. https://t.co/zuErlo572f",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
31,Everytime I read a story about this show I have to reread the premise because I am just assuming they're rebooting the reboot of Reboot: The Guardian Code https://t.co/SqvKM4Xcqm,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
32,"@ItsRetroKaiju Wonder u saw Jim's LP. Heard the same thing but never played it. I'd be cautious too especially cuz it failed Cowboy Bebop &amp; Reboot: the Guardians Code.

I don't have Netflix but...

Wish Shaman King 2021'd be successful so hopefully the 4Kids cast'd move on &amp; revive GP Legend!",0.139, 0.601, 0.26, 0.8714, 0.0, 0.57, 0.0, 0.14, 0.29
33,Hot take: Reboot: The Guardian Code is the worst live action anime adaptation,0.255, 0.745, 0.0, -0.6249, 0.0, 0.33, 0.0, 0.67, 0.0
34,Reboot: The Guardian Code Season 3 Tv Show Sequel. ! ?,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
35,"@exiaomielixo Well, FOUR YEARS AGO I was talking about how Reboot: The Guardian Code was just a really shitty Power Rangers ripoff. https://t.co/fpKmC97Deo",0.162, 0.75, 0.088, -0.4201, 0.33, 0.0, 0.0, 0.0, 0.67
36,would love another attempt at modern ReBoot that isn’t The Guardian Code https://t.co/KBr0xwiAyv,0.0, 0.741, 0.259, 0.6369, 0.0, 0.5, 0.5, 0.0, 0.0
37,"i just finished watching the quote on quote ""sequel"" to the show that said ""WARNING GAME/GAMECUBE APPROACHING."" aka reboot. which is reboot the guardian code. i wish it got a 3rd season. it was so good ahhhh. &gt;w&lt; never watched the original. plus cameo the original reboot crew.",0.081, 0.786, 0.133, 0.545, 0.0, 0.0, 0.25, 0.0, 0.75
38,"@SuperFoxcade ReBoot The Guardian Code (although I don’t blame you for putting that off)

Also possibly other Mainframe shows like Beast Wars and Shadow Raiders",0.218, 0.691, 0.091, -0.5423, 0.0, 0.33, 0.0, 0.67, 0.0
39,"@TheNCSmaster Don't count on it! Cowboy Bebop has already been canceled after one season by Netflix! Unless we forget the failures that are Reboot the Guardian's Code and Pokemon Mewtwo Strikes Back Evolution!

We should never expect anything worth the quality for Netflix...",0.207, 0.793, 0.0, -0.8378, 0.1, 0.6, 0.1, 0.1, 0.1
40,"You should always remember you can't succeed without the original Creator's guidance:

Cowboy Bebop Netflix
DBZ Buu Saga and DB Evolution
Reboot The Guardian's Code
Illumination Mario Movie
Modern Marvel and Disney movies

They all fail, others do the same without the creators!",0.167, 0.777, 0.056, -0.679, 0.0, 0.43, 0.0, 0.14, 0.43
41,When Does Reboot: The Guardian Code Season 3 Start? Netflix Release Date https://t.co/qnpovVi74N,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
42,"ReBoot: The Guardian Code Season 2: Netflix Release Date, Premiere Date (Sep 2018) https://t.co/f8z4OazzeL",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
43,"My oldest has been watching ReBoot: The Guardian Code on Netflix and we finally got to an episode with Bob and Hexadecimal in Mainframe. Blast from the past I got to enjoy, especially when it blared ""Incoming game"".
#reboot #guardiancode #Netflix",0.0, 0.916, 0.084, 0.4939, 0.0, 0.33, 0.17, 0.33, 0.17
44,the real bob with guardian code #reboot #bringbackreboot #rebootcartoon #rebootthecartoon https://t.co/3JyVg7egMi,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
45,"Also I realise the second blessing of this is that, having just Googled ""ReBoot Megabyte"", most of the images are from Guardian Code and my artist must not be tainted by that infamy. Fancy ruining a perfect character design like that, I mean c'mon... 😞 https://t.co/Ps97jzAVRY",0.041, 0.764, 0.194, 0.8126, 0.0, 0.25, 0.12, 0.38, 0.25
46,Mainframe entertainment/rainmaker entertainment : Let make a second season of reboot guardian code - Sign the Petition! https://t.co/dQWLqo2KWk via @Change,0.0, 0.829, 0.171, 0.4753, 0.0, 0.5, 0.0, 0.5, 0.0
47,@RiseFallNickBck Hence why Reboot: The Guardian Code is really only one season..though they tout it as 2. It rightfully failed,0.22, 0.78, 0.0, -0.5859, 0.0, 0.0, 0.0, 0.5, 0.5
48,"@ItsRetroKaiju @AlltheDirtonJim The worst example would have to be Reboot: the Guardian's Code, or even Mewtwo Strikes Back Evolution.",0.306, 0.694, 0.0, -0.765, 0.0, 0.5, 0.0, 0.25, 0.25
49,I never bothered to watch that Netflix Reboot Guardian Code series because it bled too much into Power Rangers’ bit to gain my interest but I just remembered Megabyte and Hexadecimal reprise their original voice actors and the bring back Hex’s static emotions so I’ll check it out,0.0, 0.83, 0.17, 0.7671, 0.14, 0.14, 0.14, 0.29, 0.29
51,"@CKNX_Drury @greycountyguy Trust me when it comes to knowing the existence of ""ReBoot: The Guardian Code"", ignorance is bliss!",0.11, 0.57, 0.32, 0.6996, 0.0, 0.33, 0.0, 0.33, 0.33
52,"For the record, before it's gone for good... As of this tweet, the trailer for ReBoot: The Guardian Code had 17,373 dislikes and only 2,561 likes.#ReBootTGC #ReBootTheGuardianCode #YouTube #Dislikes #MainframeStudios #MichaelHefferon https://t.co/429VhcXNH2",0.094, 0.906, 0.0, -0.4019, 0.0, 0.5, 0.5, 0.0, 0.0
53,"@MoranonGrievh @Gei4Mei @knightware98 @belet_seri @KHAOSANIMA418 ""this old anime show is another about bounty hunters.""

""Ooh our thing is about bounty hunters!""

This is just ReBoot:The Guardian Code all over again.",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
54,@bysimonemalcolm So they made a reboot but it kinda sucks. It's called The Guardian Code.,0.19, 0.81, 0.0, -0.4235, 0.0, 0.0, 0.0, 1.0, 0.0
55,"This was me not thinking about the original Reboot not being available on Canadian iTunes or Netflix, despite being a Canadian show and having the terrible Guardian Code show. I need to think harder about Guilmon",0.083, 0.856, 0.061, -0.2023, 0.25, 0.25, 0.0, 0.25, 0.25
56,"@CKNX_Drury from Wikipedia: ""A reimagined, live-action/CGI-animated series, ReBoot: The Guardian Code, was announced in 2015, and the first ten episodes debuted on Netflix worldwide (excluding Canada) on March 30, 2018.[7] YTV aired all twenty episodes from June 4 to July 5, 2018.""",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.67, 0.33
58,"will mention ReBoot came out in '94, i was only 9 Years old then, and its a series that sticks with me to this day. untill The Guardian Code Happened *shivver* i had too many theories what Mainframe was/What type of Hardware it resided on.",0.0, 1.0, 0.0, 0.0, 0.0, 0.6, 0.2, 0.0, 0.2
59,@kthgalaxii ReBoot: The Guardian Code,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
60,"@JessicaCGregory Reboot: The Guardian Code.

...waited years for a resolution to season 4 of reboot, and got THAT dumpster fire?

It's like closing your eyes and leaning in for a kiss, only to get slapped in the face with a cactus nopale. Coated in pure capsaicin. And coyote piss. https://t.co/tftT53G8NW",0.131, 0.765, 0.104, -0.1027, 0.33, 0.33, 0.33, 0.0, 0.0
62,@kevinmitnick Take a look at ReBoot: The Guardian Code. This is so incredible amazing. Especially if you are high :),0.0, 0.797, 0.203, 0.6222, 0.0, 0.33, 0.0, 0.0, 0.67
63,@Girl_Dm_ @umiushiurara I hate how Netflix killed Reboot with The Guardian Code ;_;,0.539, 0.461, 0.0, -0.8481, 0.0, 0.0, 0.0, 0.5, 0.5
64,"@feedmepotatoes @MikeLightbender Lol a Reboot actually already exists Google Reboot: The Guardian Code, not sure if it’s still on Netflix https://t.co/o9ldskaYmM",0.094, 0.771, 0.135, 0.2115, 0.0, 0.5, 0.0, 0.0, 0.5
65,"Soooo....

I just finished watching the first episode of Reboot: The Guardian Code and....

I fucking love it. If anyone remembers the original Reboot cartoon from the early 90s, this is basically that but if Gridman and Power Rangers met Tron.",0.0, 0.894, 0.106, 0.5262, 0.12, 0.12, 0.25, 0.12, 0.38
66,"@ReBootCartoon There certainly isn't anything like it out there now. Still depressed over Reboot: The Guardian Code. Haven't watched it, never will 😅",0.21, 0.697, 0.093, -0.4606, 0.0, 0.0, 0.0, 0.5, 0.5
68,"SNEAK PEEK: ""ReBoot: The Guardian Code"" On Netflix https://t.co/JjVDswOG1Z",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
69,"@Graham_LRR REBOOT was so far ahead of its time, one of the best shows little tech enthusiast me could have seen.

Thankfully it wasn't Guardian Code. Do not get me started on that one",0.0, 0.765, 0.235, 0.849, 0.0, 0.25, 0.25, 0.25, 0.25
70,"Reboot: The Guardian Code is a superior Code Lyoko.

(This is also how you'd know I'm in trouble and need rescuing.) https://t.co/nvRGojOepz",0.112, 0.744, 0.145, 0.2023, 0.0, 0.0, 0.0, 1.0, 0.0
71,@BeccaMVP The guardian code was the best version of reboot https://t.co/X2wuXwPspa,0.0, 0.682, 0.318, 0.6369, 0.0, 0.0, 0.0, 0.0, 1.0
72,"The guardian code was the best version of reboot

(Kill me please) https://t.co/AWUYBmhdMd",0.0, 0.724, 0.276, 0.6369, 0.0, 0.0, 0.0, 0.5, 0.5
73,and of course now that my brain's on a ReBoot kick I'm all the more upset re: how Guardian Code wasted Megabyte/Hexadecimal who were the best parts of that show (especially given how Hexadecimal's voice actor STILL HAS IT and chewed scenery as much as she could),0.117, 0.803, 0.08, -0.2247, 0.0, 0.6, 0.0, 0.0, 0.4
74,I know this is going to be kind of a stretch but I think it's going to be as bad as Reboot: The Guardian's Code!,0.194, 0.806, 0.0, -0.722, 0.0, 0.4, 0.2, 0.2, 0.2
75,"Watching the absolute shit of a show call ""The Guardian Code"". 

It's truly a horrible representation of anything to do with the original ReBoot! It belongs in the trash with so many other failures...

I know this gets worse...

I'll thank the User when it's over!",0.136, 0.706, 0.158, -0.2462, 0.11, 0.33, 0.11, 0.22, 0.22
76,"Game related, but I FINALLY gave ReBoot: The Guardian Code a shot. 

It's definitely not for the MainFrame stans of the past. 

Even the ReBoot shout-out episode literally stabs them(me included) in the front with the watered down feel and lack of attention to detail. https://t.co/QveaAHmHxZ",0.132, 0.798, 0.069, -0.5023, 0.0, 0.57, 0.0, 0.43, 0.0
77,"I don't get all the Reboot: Guardian Code hate. Sure, it's cheesy and I'm constantly yelling at the TV but it's also fun in a weird way.",0.14, 0.667, 0.194, 0.4019, 0.0, 0.2, 0.2, 0.4, 0.2
78,"@Kulutues2332 Surprisingly...
I hate what you've done less than 'Reboot: The Guardian Code'",0.291, 0.709, 0.0, -0.5719, 0.0, 0.0, 0.0, 1.0, 0.0
79,@GlazedDonut2186 @msdanifernandez The character you showed is from reboot: The guardian code. Which is a reboot of Reboot. https://t.co/xNx0gmzxf2,0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
80,"Gotta say though, when your He-Man trailer gives me flashbacks to ReBoot: The Guardian Code that's not a good thing",0.118, 0.882, 0.0, -0.3412, 0.0, 0.2, 0.2, 0.2, 0.4
81,"Seen ""Reboot: The Guardian Code"" on Netflix yet?
@kaijunokami
https://t.co/sip3AB0qoM",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
82,@kaijunokami Before the pandemic they made a live action series of reboot called: reboot the guardian code,0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0
83,"@quebe_cossais @PanderShirts @matiasgomeznyc That live-action ""ReBoot"" wasn't American made. It was made by the company that bought Mainframe Ent. back in 2006. It was funded by Corus Ent, who own YTV. Netflix gets blamed for ""The Guardian Code"" but they didn't fund/produce it, only distribute it. https://t.co/rQHQisenvD",0.048, 0.952, 0.0, -0.2617, 0.0, 0.5, 0.0, 0.5, 0.0
85,@AboveUp Yeah the Raw Robot looks like it was designed for the REBOOT reboot REBOOT: The Guardians Code,0.0, 0.761, 0.239, 0.5719, 0.0, 0.5, 0.0, 0.0, 0.5
87,"@NinEverything Has anybody LEARNED ANYTHING FROM THE NUTFLEX DISASTERS OF CASTLEVANIA? Netflix She-Ra? Netflix Reboot Guardian Code? Cancellation of Dark Crystal Age of Resistance (a great show btw gone too quick)? RECENT KEVIN SMITH HE-MAN OF NUTFLEX?

STOP GIVING NETFLIX ALL POWER! &gt;:( https://t.co/HeRguTlBxh",0.115, 0.732, 0.153, 0.4501, 0.38, 0.25, 0.12, 0.25, 0.0
88,@AjentVee The ruined ReBoot(The Guardian Code) 😭😭 So I can agree with being scared,0.358, 0.477, 0.166, -0.4976, 0.0, 0.0, 0.0, 1.0, 0.0
89,"@LivingScribe I can't remember who it was, but I recall hearing that one of the higher ups on the Guardian Code basically pushed that crap on is because he wanted to retry his failed show with the reboot branding behind it.  We'll never get what we want until Mainframe does it justice",0.133, 0.764, 0.103, -0.4215, 0.0, 0.5, 0.0, 0.38, 0.12
90,"@NickOnRipple @mjtannertwins Btw, it is not your fault if you like it or not, but man, this reminds me of the disrespect that Reboot the Guardian Code and She-Ra of Netflix did to fans, which is crazy.

Still, I am happy to report that Im not affect by this much since I rather ignore MOTU Revelation as canon",0.151, 0.722, 0.127, -0.3861, 0.0, 0.4, 0.2, 0.2, 0.2
91,"@LivingScribe Reboot Guardian Code is alright, it's just something entirely different from the original show  but it does seem as part of the same world https://t.co/5uJzHvNNSi",0.0, 0.88, 0.12, 0.2846, 0.0, 0.0, 0.0, 1.0, 0.0
92,"For anyone who DOESN'T remember or you were lucky enough to forget it exists, allow me to remind you of Reboot The Guardian Code. The series that was touted as a reboot then evidence showed it was a sequel then the show came out and...well it shat on the original. https://t.co/HdEmA5vRC3",0.057, 0.813, 0.129, 0.5994, 0.17, 0.17, 0.17, 0.17, 0.33
93,@RiseFallNickBck ReBoot. No… no “The Guardian Code”. That version can go straight to hell.,0.384, 0.508, 0.107, -0.7096, 0, 0, 0, 0, 0
94,"@ThePurrrple @ThouArtAnuli That ""ReBoot reboot"" wasn't American made. It was made by the company that bought Mainframe Ent. back in 2006. It was funded by Corus Ent, who own YTV. Netflix gets blamed for ""The Guardian Code"" but they didn't fund/produce it, only distribute it. https://t.co/rQHQisenvD",0.048, 0.952, 0.0, -0.2617, 0.0, 0.5, 0.0, 0.5, 0.0
95,"which they made the first ever Computer animated show with Reboot - which appeared on ABC and Cartoon Network, where another Reboot show appeared on Netflix called Reboot Guardian Code which that one is on Netflix. https://t.co/jxB9JvIW6E",0.0, 1.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.5, 0.33
96,"ReBoot: The Guardian Code Official Trailer https://t.co/vXWI65KUky via @YouTube 

YO THERES A REBOOT LIVE ACTION ON NETFLIX",0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
97,"Speaking of Megabyte, his Guardian Code design is AWFUL.
Instead of an upgrade, it looks like they downgraded him.
Talk about wrecking the design of one of best all time baddies
in animation history.
#REBOOT #megabyte #rebootguardiancode #characterdesigns https://t.co/IB5kPkSQr0",0.072, 0.767, 0.161, 0.5719, 0.0, 0.43, 0.0, 0.14, 0.43
98,@EvilUno Only if @TheRealMrSweary is involved and we pretend The Guardian Code never happened. Reboot is one of my two fav cartoons of all time. My love of Hexadecimal is neverending...and explains a lot about my tastes in women. https://t.co/i4ksdHyr0F,0.033, 0.798, 0.169, 0.7783, 0.0, 0.25, 0.5, 0.25, 0.0
99,"@_Rewhan I just want it to get an ending, we've been on that cliffhanger for so long...

I  know there's the the guardian code reboot, but I heard there's like, irl stuff in it too which... why???",0.0, 0.863, 0.137, 0.6046, 0.2, 0.6, 0.0, 0.2, 0.0
100,"Uhh... Don't watch the recent show. Reboot: The Guardian Code... It's really, really bad.",0.238, 0.762, 0.0, -0.6214, 0.0, 0.0, 0.0, 0.25, 0.75
101,"Reboot ReBoot, and delete ReBoot: The Guardian Code cause it was AWFUL https://t.co/CWcQ3Uvuj3",0.2, 0.8, 0.0, -0.4588, 0, 0, 0, 0, 0
102,"@JessicaNigri @slevinkalevera It was a mix of live action &amp; animation
Called reboot the guardian code
It's rancid.",0.212, 0.788, 0.0, -0.5423, 0.5, 0.5, 0.0, 0.0, 0.0
103,"@JessicaNigri They kinda did, ""ReBoot: The Guardian Code"" on Netflix. It was some sort of continuation/soft reboot, &amp; was a mix of live action and CGI. The original ReBoot characters show up briefly at one point, &amp; the entire episode felt like a badly scripted joke at the fans expense.",0.062, 0.798, 0.14, 0.4404, 0.0, 0.44, 0.11, 0.33, 0.11
104,@panicbone_ i highly suggest Reboot (but not reboot the guardian code which is the newest and stupidest one) if you like the old beastwars. made by the same animation studios and megabyte is 🥵❤️💦  tony jay is so good. one of the eps of the show legit inspired the plot for mad max fury road,0.159, 0.695, 0.146, -0.2165, 0.25, 0.0, 0.5, 0.25, 0.0
105,@StephieSparda This has the energy of ReBoot: The Guardian Code...,0.0, 0.792, 0.208, 0.2732, 0, 0, 0, 0, 0
106,"Hey @netflix 
Is there going to be a second season of Car masters Rust to Riches And a 4th season of Rust valley restorers
Also i still really want Reboot guardians of the code to have a second season it was cancelled on a CLIFFHANGER that is the worst thing to do because i &lt;3 it",0.111, 0.799, 0.091, -0.2748, 0.0, 0.43, 0.0, 0.14, 0.43
