,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
54,"hii not new to stan twt but i'm bored so rt or comment for moots *ೃ༄

✎Marvel
✎Peter Parker
✎Wanda Maximoff 
✎TUA
✎Stranger Things 
✎Euphoria 
✎Genera+ion
✎The Good Place
✎Shameless
✎BJHM 
✧･ﾟ: *✧･ﾟ:*",0.108, 0.735, 0.157, 0.296, 0.0, 0.25, 0.25, 0.25, 0.25
55,"@Milliestopshate My daughter, Alice, is a huge fan of Stranger Things and she has chosen that as her 8th Bday party theme later this month. Any chance I could get a birthday shout out to give her on party day?!?! Thanks!",0.0, 0.658, 0.342, 0.9341, 0.0, 0.4, 0.2, 0.0, 0.4
56,🕯️ stranger things content 🕯️,0.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5
59,"@anydeinrt AHS, PLL e stranger things",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
60,should i rewatch stranger things or the walking dead i can't decide,0.323, 0.677, 0.0, -0.6486, 0.0, 0.0, 0.0, 0.5, 0.5
62,how come the stranger things cast members that come to our shows are so much nicer than the euphoria cast,0.0, 0.706, 0.294, 0.8166, 0.0, 0.0, 0.5, 0.0, 0.5
64,"Ugh, Max! I am looking for Stranger things, not the shadow monster!",0.253, 0.747, 0.0, -0.5242, 0.0, 0.0, 0.0, 0.67, 0.33
65,"@outworld_sounds I will need to have more Stranger Things beach parties with you two in the future, you guys are the best :)",0.0, 0.723, 0.277, 0.7845, 0.0, 0.0, 0.0, 0.0, 1.0
66,stranger things will end with el using her powers for the last time and her nose is bleeding but it doesn’t stop and she dies ❤️,0.104, 0.896, 0.0, -0.4215, 0.5, 0.0, 0.0, 0.0, 0.5
67,"1. the end of the fvking world
2. kingdom
3. stranger things https://t.co/eDc9wOu8FF",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
69,@StrangerZingzz @strangerthigntv @Stranger_Things not Steve being a cop,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
70,ONLY TOOK 2 SEASONS BUT ALL ABOARD THE TRAIB #StrangerThings,0.0, 0.859, 0.141, 0.0387, 0.0, 0.0, 0.0, 0.0, 1.0
76,"@carlquintanilla Stranger Things, Ghostbusters and now highest inflation since 1982?

Our nostalgia for the 80s is getting out of hand.",0.0, 0.849, 0.151, 0.4939, 0.0, 0.0, 0.0, 0.0, 1.0
77,knock off joseph gordon levitt better be in that stranger things s4 trailer 😍😍,0.0, 0.805, 0.195, 0.4404, 0.0, 0.0, 0.0, 0.0, 1.0
79,@carouselshotgun @Stranger_Things @strangerwriters @joe_keery @GatenM123 Thank you so much friend! That means the world to me 😭,0.0, 0.589, 0.411, 0.7407, 0.0, 0.0, 1.0, 0.0, 0.0
80,"Subgenre: Traditional fantasy 
 Protagonist:  Elliot Rivers (Nymph) 
 Antagonist: Lawrence Praenest (Werewolf) 
 Location: Daenysth (City) 
 Conflict: Person is at war with themself 
 Emotion:  Obsessed 
 Inspiration: Stranger Things by OneRepublic (Song)",0.316, 0.585, 0.099, -0.7506, 0.0, 0.0, 0.0, 0.67, 0.33
81,the urge to make a stranger things edit ughgggggggjfjdjdndn,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.33, 0.33
83,stranger things 4 trailer should come out on my birthday,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
87,OMG! This made me so sentimental…hope it’s true #strangerthings #strangerthings4 ⁦@strangerthigntv⁩ ⁦@Stranger_Things⁩   @swiftlynatalia  https://t.co/Hf4Xe1cY6c,0.0, 0.704, 0.296, 0.5197, 0.0, 0.0, 0.0, 0.5, 0.5
88,STRANGER THINGS💋💄 https://t.co/6xbuYx20yb,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
89,stranger things ⭐ https://t.co/APRgh290V9,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
90,"Stranger things

I vote #Butter for #BestMusicVideo at the 2022 #iHeartAwards! (@BTS_twt) https://t.co/2vyER2VtAZ",0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
91,@seabones4 ayo is this stranger things cause this looks the upside down now,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
93,@Cosmicyl_ @scriptedfood @Octavio_Octo @MunchyMunchy7 @Emirfire950 @JayZeUnknown @ArsonistGreg @Delta7831 @Engineer432hz @blonfacts @Starspockets @Gamerguy16The @Failureistall @HomeAloneMeme Nah bruh it’s obviously Freddy fazbear from stranger things,0.149, 0.851, 0.0, -0.1027, 0.0, 0.0, 0.0, 0.0, 1.0
95,"I need new friends/moots 😁🤍 if you like the following we should talk more!!

-mcu
-stranger things
-euphoria
-criminal minds 
-the hunger games
-the maze runner
-divergent series
-Disney movies 
-why don’t we 
-one direction 
-Ed Sheeran 
-Joshua Bassett 
-Lewis Capaldi",0.077, 0.818, 0.105, 0.2072, 0.0, 0.0, 0.0, 0.0, 1.0
96,"should i watch vods, euphoria, stranger things, vids, or should i draw?",0.0, 0.677, 0.323, 0.6486, 0.0, 0.25, 0.25, 0.0, 0.5
101,When?????😫😫😫 @Stranger_Things @strangerwriters https://t.co/ZEfQZkvcy7,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
102,@sazzybarb bitch I definitely told u to start stranger things 😭,0.33, 0.435, 0.235, -0.2732, 0.0, 0.33, 0.0, 0.33, 0.33
103,@Stranger_Things u have one more chance to drop the trailer ... come on,0.187, 0.632, 0.181, -0.0183, 0.0, 1.0, 0.0, 0.0, 0.0
104,@anydeinrt stranger things e obx,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
105,"@MeghanWalsh_ @Patriotism1788 Yes. They created many such “stars” through the breeding program. I tell people Stranger Things was not a sci-fi show, but rather a documentary. Most aren’t prepared to hear the truth on this yet, but, it’s going to have to be exposed.",0.033, 0.758, 0.208, 0.7662, 0.0, 0.4, 0.0, 0.4, 0.2
108,@janloonz And then there is stranger things which feels like hasn’t had a season in 5 years,0.0, 0.839, 0.161, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
111,@straeqns hes jonathan byers from stranger things ! also thank u :’) 💪💪,0.0, 0.737, 0.263, 0.3612, 0.0, 0.0, 0.0, 0.0, 1.0
112,Is that final season of stranger things ever coming?,0.0, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.75
114,Tomorrow we release what we think is the number 1 episode of Stranger Things...what episode will it be?🤔,0.0, 0.925, 0.075, 0.0772, 0.0, 0.2, 0.0, 0.4, 0.4
115,Stranger Things ❤️ https://t.co/dCwC63RdFd,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
116,Stranger Things ❤️ https://t.co/4m37ern5Yr,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
117,@KurtBenkert That's about all the physical activity I'd like to do when Stranger Things and Outer Banks comes out.,0.0, 0.872, 0.128, 0.3612, 0.0, 0.33, 0.0, 0.0, 0.67
118,"@everythingloria Binging Superstore. I am in the last Season. So funny. ❤️Waiting on Stranger Things, Better Call Saul &amp; The Handmaid’s Tale.",0.0, 0.707, 0.293, 0.7678, 0.0, 0.0, 0.0, 0.0, 1.0
119,@R0CKYSBRA have you watched stranger things?,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
121,@stillgray I'm waiting to see if Netflix postpones Stranger Things Season 4 considering where Hopper is being held prisoner,0.272, 0.728, 0.0, -0.6808, 0.0, 0.0, 0.0, 0.33, 0.67
122,seeing phoebe bridgers live 2 days before stranger things 4 comes out i don’t think i’ll EVER emotionally recover from that,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.83
123,Me trying not to say anything  about stranger things. #meme #StrangerThings https://t.co/A4QNrrziTl,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
124,"Nicolette Jillson of Stafford was encouraged to go into business during one of her family's weekly dinners, when Matarazzo's son, ""Stranger Things"" actor Gaten Matarazzo, commented on how delicious her cookies were and suggested she open a bakery. https://t.co/J7rEu9q5YG",0.0, 0.85, 0.15, 0.7351, 0.0, 0.5, 0.0, 0.0, 0.5
125,STRANGER THINGS Season 4 Teaser Trailer (2020) Netflix Series https://t.co/j9TiU2OrAW,0.222, 0.778, 0.0, -0.25, 0.0, 0.0, 0.0, 0.0, 1.0
126,The #strangerthings kids hit puberty hard in season 3 lol dudes all shot up a foot and voice dropped an octave. Saw way too much leg…Jalen Green would have fit right in the 80s with those short shorts.,0.036, 0.827, 0.137, 0.5994, 0.44, 0.33, 0.22, 0.0, 0.0
128,"Fringe's Walter Bishop remains my favorite all time character, but Stranger Things' Mr. Clarke (super heroic middle school science teacher) is moving into 2nd place. And this might well be my favorite all time scene: https://t.co/MaUbKZQX16",0.0, 0.696, 0.304, 0.9267, 0.14, 0.43, 0.29, 0.0, 0.14
130,@chelsiewrath Stranger Things .,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
131,"Stranger things, the end of the fucking world, only murders in the building, dark, lost in space, our beloved summer, 2521, business proposal, and many more. https://t.co/BaJr99ACcj",0.194, 0.709, 0.097, -0.5046, 0.0, 0.29, 0.29, 0.29, 0.14
132,Stranger things https://t.co/eIvEqxx8Fx,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
134,@gincpjo stranger things,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
135,"Billy Hargrove, my love 😩❤️ 

Idk I j love him a lot man #StrangerThings #billyhargrove",0.089, 0.38, 0.532, 0.8402, 0.0, 0.0, 0.67, 0.33, 0.0
136,I had so much fun at the @Stranger_Things store! 😈#tiktok #strangerthings #Netflix @netflix @noah_schnapp https://t.co/MFt9lKO2HS,0.0, 0.644, 0.356, 0.5954, 0.0, 0.0, 1.0, 0.0, 0.0
137,@MSonic2007 Stranger things?,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
138,@NaimElena Parece el de stranger things,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
140,Poulter with a baseball cap. Stranger things. #ThePlayers,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
141,"Here's your daily random dose of #StrangerThings! 
➡️@Stranger_Things
➡️@netflix https://t.co/NfQdX7UEfM",0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
142,@Bonobeau2 @BTheorists Please excuse my incorrect terminology #Bonobeau2 Either way it could have been the vaccination as you said it isn't life threatening 'for most ppl'. No doubt stranger things have happened in all aspects of life &amp; death. #ImThriceJabbed,0.21, 0.643, 0.147, -0.5812, 0.0, 0.56, 0.0, 0.22, 0.22
144,I can’t wait for stranger things season 4 volume 1 on may 27th which is in 78 days and the owl house on March 19th which is  in 9 days. Prepare for a big fan girl moment on those days,0.0, 0.937, 0.063, 0.3182, 0.0, 0.25, 0.38, 0.0, 0.38
145,@CoffinPartyy @Stranger_Things @strangerwriters @joe_keery @GatenM123 this is so good!!!!,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
146,My friend and i are rewatching stranger things season 3 and i forgot how much I love Steve and Robin,0.0, 0.654, 0.346, 0.8126, 0.25, 0.0, 0.5, 0.0, 0.25
147,"stranger things gilmore girls gossip girl skins anne with an e pretty little liars alexa &amp; katie brooklyn 99

 https://t.co/7ef2RzmC4P",0.209, 0.652, 0.139, -0.1548, 0.0, 0.0, 0.25, 0.0, 0.75
148,"Season 3 of stranger things is my favorite
Erica is a fucking queen!!",0.0, 0.736, 0.264, 0.555, 0.0, 0.0, 0.67, 0.0, 0.33
149,PLS I want stranger things moots and to be in a stranger things gc #StrangerThings,0.0, 0.794, 0.206, 0.1531, 0.0, 0.0, 0.0, 0.0, 1.0
150,@magiicrat1967 @detnewsRodBeard @celtics Stranger things have happened… https://t.co/MGwocQhDqf,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
151,"I had the absolute worst anxiety day today, most of it by own doing, but I didn’t have a crying breakdown so I take that as a win. So now I will eat sushi then color and watch Stranger Things ❤️",0.186, 0.694, 0.12, -0.2144, 0.0, 0.25, 0.12, 0.38, 0.25
153,"#StrangerThings star ⁦@DavidKHarbour⁩ to make London stage debut in world premiere of #TheresaRebeck play , Madhouse to be dir by ⁦@MoritzvS⁩ for season at Ambassadors Theatre from June. https://t.co/fgHQgw27fw",0.0, 0.906, 0.094, 0.34, 0.0, 0.67, 0.0, 0.33, 0.0
154,"~Fandoms~
Umbrella Academy
Stranger Things (A little)
Scythe (book series)
Marvel (A little)
MHA (Not caught up)
Harry Potter (mainly movies)
Riverdale (Season 2 so far)
Hunger Games
Encanto
Shadow and Bone (first book and up to date on the show)
Six of Crows/Crooked Kingdom",0.058, 0.87, 0.072, 0.1335, 0.0, 0.57, 0.0, 0.14, 0.29
155,@rayanecunhareal 13 reasons why e stranger things e muito top.,0.0, 0.769, 0.231, 0.2023, 0.0, 0.0, 0.0, 0.33, 0.67
