,content,neg,neu,pos,comp,angry,fear,happy,sad,surprise
59,my heart is too weak to watch all of us are dead,0.419, 0.581, 0.0, -0.802, 0.0, 0.0, 0.0, 0.67, 0.33
60,@JonDel86 @GilbertCRemulla all of us are dead.. 😄😄,0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0
63,finally started All Of Us Are Dead!!!,0.463, 0.537, 0.0, -0.7332, 0.0, 1.0, 0.0, 0.0, 0.0
65,@kdrama_menfess All of us are dead,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
66,"//all of us are dead spoilers 

that pink vested girl at the start of episode 10 of us all of us are dead is actually starting to annoy me why does everyone have to save her all the time why couldn’t she just get up when she saw a zombie coming 😭😭??",0.191, 0.73, 0.08, -0.8271, 0.0, 0.0, 0.0, 0.33, 0.67
70,"@kdrama_menfess kingdom, happines, all of us are dead",0.417, 0.583, 0.0, -0.6486, 0, 0, 0, 0, 0
72,@kdrama_menfess All of us are dead sih,0.462, 0.538, 0.0, -0.6486, 0, 0, 0, 0, 0
75,All of us are dead 📺,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
77,@NetflixBrasil renova all of us are dead faz favor,0.331, 0.462, 0.208, -0.3818, 0.0, 0.0, 1.0, 0.0, 0.0
79,All of us are dead is such a good show,0.303, 0.493, 0.204, -0.34, 0.0, 0.0, 1.0, 0.0, 0.0
81,We started watching All Of Us Are Dead today and I know his ass gonna go home and finish it without me 😡🙃,0.291, 0.709, 0.0, -0.8316, 0.0, 0.0, 0.0, 0.5, 0.5
82,all of us are dead. https://t.co/SuE8rjeQPs,0.462, 0.538, 0.0, -0.6486, 0, 0, 0, 0, 0
84,@iourstruly all of us are dead,0.518, 0.482, 0.0, -0.6486, 0, 0, 0, 0, 0
85,"All of Us are Dead- i don't rlly talk abt this show but i love this high stakes apocalyptic show. SO MANY SCENES ARE HEARTBREAKING AND IT CRUSHED ME OH LORDIEE

some topics of it can be triggering (i will ofc tag if i ever do talk abt this show !)",0.26, 0.648, 0.092, -0.8922, 0.0, 0.5, 0.25, 0.0, 0.25
88,rewatching all of us are dead solo para sentir algo,0.323, 0.677, 0.0, -0.6486, 0, 0, 0, 0, 0
89,"Sighs..

“Not all of us are dead father..”",0.417, 0.583, 0.0, -0.6486, 0.0, 0.0, 0.0, 1.0, 0.0
90,Why do all of the girls in All of Us Are Dead have really good chemistry EXCEPT for the actual lesbian couple 💀,0.156, 0.727, 0.116, -0.2748, 0.0, 0.25, 0.25, 0.0, 0.5
92,"The Best K-Dramas Based on Webtoons, From All of Us Are Dead to Love Alarm, https://t.co/3kLnLfU5Iq",0.247, 0.443, 0.31, 0.4019, 0.0, 0.0, 0.25, 0.25, 0.5
