week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2022-02-13,Films (English),1,The Tinder Swindler,,64700000,2
2022-02-13,Films (English),2,Tall Girl 2,,27440000,1
2022-02-13,Films (English),3,13 Hours: The Secret Soldiers of Benghazi,,13270000,2
2022-02-13,Films (English),4,Despicable Me 2,,13080000,2
2022-02-13,Films (English),5,Home Team,,10550000,3
2022-02-13,Films (English),6,Despicable Me,,8950000,2
2022-02-13,Films (English),7,Dora and the Lost City of Gold,,8750000,1
2022-02-13,Films (English),8,Faster,,6850000,2
2022-02-13,Films (English),9,The Power of the Dog,,5460000,3
2022-02-13,Films (English),10,Don't Look Up,,5360000,8
2022-02-13,Films (Non-English),1,Through My Window,,34700000,2
2022-02-13,Films (Non-English),2,The Privilege,,18060000,1
2022-02-13,Films (Non-English),3,Into the Wind,,10710000,1
2022-02-13,Films (Non-English),4,Love Tactics,,8960000,1
2022-02-13,Films (Non-English),5,Love and Leashes,,6680000,1
2022-02-13,Films (Non-English),6,My Best Friend Anne Frank,,5680000,2
2022-02-13,Films (Non-English),7,Bigbug,,4400000,1
2022-02-13,Films (Non-English),8,Child of Kamiari Month,,2660000,1
2022-02-13,Films (Non-English),9,Looop Lapeta,,2440000,2
2022-02-13,Films (Non-English),10,Luccas Neto in: The Magical Hotel 2,,2060000,1
2022-02-13,TV (English),1,Inventing Anna,Inventing Anna: Limited Series,77310000,1
2022-02-13,TV (English),2,Sweet Magnolias,Sweet Magnolias: Season 2,58150000,2
2022-02-13,TV (English),3,Raising Dion,Raising Dion: Season 2,30350000,2
2022-02-13,TV (English),4,Ozark,Ozark: Season 4 Part 1,24770000,4
2022-02-13,TV (English),5,Raising Dion,Raising Dion: Season 1,23520000,2
2022-02-13,TV (English),6,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,22020000,3
2022-02-13,TV (English),7,Love Is Blind,Love Is Blind: Season 2,21780000,1
2022-02-13,TV (English),8,Sweet Magnolias,Sweet Magnolias: Season 1,21640000,1
2022-02-13,TV (English),9,Disenchantment,Disenchantment: Part 4,17090000,1
2022-02-13,TV (English),10,In From the Cold,In From the Cold: Season 1,16310000,3
2022-02-13,TV (Non-English),1,All of Us Are Dead,All of Us Are Dead: Season 1,113240000,3
2022-02-13,TV (Non-English),2,Café con aroma de mujer,Café con aroma de mujer: Season 1,51840000,7
2022-02-13,TV (Non-English),3,Dark Desire,Dark Desire: Season 2,43760000,2
2022-02-13,TV (Non-English),4,Dark Desire,Dark Desire: Season 1,23650000,2
2022-02-13,TV (Non-English),5,Toy Boy,Toy Boy: Season 1,18250000,1
2022-02-13,TV (Non-English),6,Toy Boy,Toy Boy: Season 2,15870000,1
2022-02-13,TV (Non-English),7,The Queen of Flow,The Queen of Flow: Season 2,13070000,13
2022-02-13,TV (Non-English),8,I Am Georgina,I Am Georgina: Season 1,11920000,3
2022-02-13,TV (Non-English),9,Our Beloved Summer,Our Beloved Summer: Season 1,11910000,8
2022-02-13,TV (Non-English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11050000,12
2022-02-06,Films (English),1,The Tinder Swindler,,45800000,1
2022-02-06,Films (English),2,Home Team,,33630000,2
2022-02-06,Films (English),3,Despicable Me 2,,14340000,1
2022-02-06,Films (English),4,13 Hours: The Secret Soldiers of Benghazi,,12980000,1
2022-02-06,Films (English),5,Transformers: Revenge of the Fallen,,9790000,1
2022-02-06,Films (English),6,The Royal Treatment,,8510000,3
2022-02-06,Films (English),7,Don't Look Up,,6930000,7
2022-02-06,Films (English),8,Despicable Me,,6850000,1
2022-02-06,Films (English),9,Can You Keep a Secret?,,6410000,1
2022-02-06,Films (English),10,Faster,,6370000,1
2022-02-06,Films (Non-English),1,Through My Window,,33250000,1
2022-02-06,Films (Non-English),2,My Best Friend Anne Frank,,18720000,1
2022-02-06,Films (Non-English),3,My Father's Violin,,4840000,3
2022-02-06,Films (Non-English),4,Looop Lapeta,,2460000,1
2022-02-06,Films (Non-English),5,Lost Bullet,,1570000,3
2022-02-06,Films (Non-English),6,Perfect Strangers,,1370000,3
2022-02-06,Films (Non-English),7,Amandla,,1370000,3
2022-02-06,Films (Non-English),8,How I Fell in Love with a Gangster,,1270000,5
2022-02-06,Films (Non-English),9,Fierce,,1250000,2
2022-02-06,Films (Non-English),10,The Medium,,1180000,1
2022-02-06,TV (English),1,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,60480000,2
2022-02-06,TV (English),2,Raising Dion,Raising Dion: Season 2,49090000,1
2022-02-06,TV (English),3,In From the Cold,In From the Cold: Season 1,44800000,2
2022-02-06,TV (English),4,Ozark,Ozark: Season 4 Part 1,44630000,3
